Ano,Valor,Jogo,Indice_Pico
2011,8351.75,Dota 2,0.7495945969293853
2012,93936.08333333333,Dota 2,8.431045053237364
2013,444866.8333333333,Dota 2,39.92813178312953
2014,820927.5833333334,Dota 2,73.6807113403735
2015,985203.4166666666,Dota 2,88.42495980000638
2016,1114168.9166666667,Dota 2,100.0
2017,912141.5833333334,Dota 2,81.86744125498025
2018,785692.5833333334,Dota 2,70.5182644732131
2019,859511.0,Dota 2,77.14368864026976
2020,713758.0,Dota 2,64.06191999462678
2021,703894.0833333334,Dota 2,63.176603906633844
2022,793089.1666666666,Dota 2,71.18212999869034
2023,757363.9166666666,Dota 2,67.97568172450212
2024,787648.75,Dota 2,70.69383629516977
2025,762112.25,Dota 2,68.40185887433137
2026,864090.5,Dota 2,77.55471249235323
2011,15.0,League of Legends,9.868421052631579
2012,32.0,League of Legends,21.052631578947366
2013,67.0,League of Legends,44.07894736842105
2014,70.0,League of Legends,46.05263157894737
2015,90.0,League of Legends,59.210526315789465
2016,100.0,League of Legends,65.78947368421053
2017,81.0,League of Legends,53.289473684210535
2018,75.0,League of Legends,49.34210526315789
2019,116.0,League of Legends,76.31578947368422
2020,137.0,League of Legends,90.13157894736842
2021,149.0,League of Legends,98.02631578947368
2022,152.0,League of Legends,100.0
2023,152.0,League of Legends,100.0
2024,132.0,League of Legends,86.8421052631579
2025,131.0,League of Legends,86.18421052631578
2015,18421.0,SMITE,77.05838675604731
2016,19476.5,SMITE,81.47373484903943
2017,18008.75,SMITE,75.33387017496158
2018,15223.0,SMITE,63.68057225923176
2019,14957.666666666666,SMITE,62.57063476293562
2020,23277.416666666668,SMITE,97.37365920317364
2021,23905.25,SMITE,100.0
2022,20111.666666666668,SMITE,84.1307523103363
2023,18376.416666666668,SMITE,76.8718865800051
2024,13889.5,SMITE,58.10229970403991
2025,3097.5,SMITE,12.957404754185797
2026,2413.5,SMITE,10.096108595392225
